2026-07-07 15:25:11 | INFO | [用户认证] [登录] user= | url= | 用户 admin 登录成功
2026-07-07 15:25:11 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:25:11 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:25:16 | INFO | [权限管理] [查询] user=81478f9b121e4f808b247f880ad6c13c | url= | 查询用户权限列表
2026-07-07 15:25:24 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:25:53 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:26:32 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:27:27 | INFO | [权限管理] [查询] user=81478f9b121e4f808b247f880ad6c13c | url= | 查询用户权限列表
2026-07-07 15:36:01 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:36:08 | INFO | [权限管理] [查询] user=81478f9b121e4f808b247f880ad6c13c | url= | 查询用户权限列表
2026-07-07 15:36:43 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:36:43 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:50:33 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:50:42 | INFO | [流程审批] [校级复审] user=USER001 | url= | 流程 f293a7478aea4283af959dec02dc62d3 复审 PASS
2026-07-07 15:51:44 | INFO | [用户认证] [登录] user=bffcfc425cd9465b922d95437490b849 | url= | 用户 libingxin-teacher 登录成功
2026-07-07 15:51:44 | INFO | [用户认证] [登录] user= | url= | 用户 libingxin-teacher 登录成功
2026-07-07 15:51:44 | INFO | [权限管理] [查询] user=bffcfc425cd9465b922d95437490b849 | url= | 查询用户权限列表
2026-07-07 15:51:44 | INFO | [权限管理] [查询] user=bffcfc425cd9465b922d95437490b849 | url= | 查询用户权限列表
2026-07-07 15:53:57 | INFO | [报修流程] [派单] user=USER001 | url= | 工单 9ca92b6d28344b74bd78d600a867a2c9 -> USERD73BD61A1D
2026-07-07 15:54:04 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:54:09 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:54:09 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:20:05 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:20:26 | INFO | [权限管理] [查询] user=bffcfc425cd9465b922d95437490b849 | url= | 查询用户权限列表
2026-07-07 16:20:41 | INFO | [权限管理] [查询] user=bffcfc425cd9465b922d95437490b849 | url= | 查询用户权限列表
2026-07-07 16:26:27 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:26:27 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:26:32 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:26:32 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:26:34 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:26:34 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:38:21 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:38:30 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:38:30 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 16:39:21 | INFO | [权限管理] [查询] user=bffcfc425cd9465b922d95437490b849 | url= | 查询用户权限列表
